id,car_name,price,made_date
1,car_1,5200,2020/1/23
2,car_2,9900,2020/1/23
3,car_3,14300,2020/1/23
4,car_4,18500,2020/1/23
5,car_5,22500,2020/1/23
6,car_6,26300,2020/1/23
7,car_7,29900,2020/1/23
8,car_8,33300,2020/1/23
9,car_9,36500,2020/1/23
10,car_10,39500,2020/1/23
11,car_11,42300,2020/3/29
12,car_12,44900,2020/3/29
13,car_13,47300,2020/3/29
14,car_14,49500,2020/3/29
15,car_15,51500,2020/3/29
16,car_16,53300,2020/3/29
17,car_17,54900,2020/3/29
18,car_18,56300,2020/3/29
19,car_19,57500,2020/3/29
20,car_20,58500,2020/3/29
21,car_21,59300,2020/7/1
22,car_22,59900,2020/7/1
23,car_23,60300,2020/7/1
24,car_24,60500,2020/7/1
25,car_25,60500,2020/7/1
26,car_26,60300,2020/7/1
27,car_27,59900,2020/7/1
28,car_28,59300,2020/7/1
29,car_29,58500,2020/7/1
30,car_30,57500,2020/7/1
31,car_31,56300,2020/9/15
32,car_32,54900,2020/9/15
33,car_33,53300,2020/9/15
34,car_34,51500,2020/9/15
35,car_35,49500,2020/9/15
36,car_36,47300,2020/9/15
37,car_37,44900,2020/9/15
38,car_38,42300,2020/9/15
39,car_39,39500,2020/9/15
40,car_40,36500,2020/9/15
41,car_41,33300,2020/12/31
42,car_42,29900,2020/12/31
43,car_43,26300,2020/12/31
44,car_44,22500,2020/12/31
45,car_45,18500,2020/12/31
46,car_46,14300,2020/12/31
47,car_47,9900,2020/12/31
48,car_48,5300,2020/12/31
49,car_49,5500,2020/12/31
50,car_50,4500,2020/12/31
